filename,pre_onset_1_average,pre_onset_top_speed,post_onset_1_average,post_onset_top_speed,top_speed_difference,difference,ZT,creation_time,abs_difference,genotype,sleep_condition
24B11_g4_x_RDL_female_mating_SD_4.csv,3.23987951807229,52.14,2.48282352941176,14.59,-37.55,-0.757055988660524,372,22.05.2024 15:12:23,0.757055988660524,24B11_RDL,SD
24B11_g4_x_RDL_female_mating_SD_2.csv,2.62761904761905,16.85,2.24071428571429,11.04,-5.81,-0.386904761904763,359,22.05.2024 14:59:52,0.386904761904763,24B11_RDL,SD
24b11_g4_x_RDL_SD_8.csv,8.09493975903614,35.15,11.8188235294118,39.36,4.21,3.72388377037562,291,27.05.2024 13:51:08,3.72388377037562,24B11_RDL,SD
24b11_g4_x_RDL_SD_16.csv,7.00929411764706,42.23,14.1206024096386,46.37,4.14,7.11130829199149,325,27.05.2024 14:25:28,7.11130829199149,24B11_RDL,SD
24b11_g4_x_RDL_SD_15.csv,2.6027380952381,27.71,0.0391566265060241,2.35,-25.36,-2.56358146873207,321,27.05.2024 14:21:42,2.56358146873207,24B11_RDL,SD
24b11_g4_x_RDL_SD_14.csv,9.95047619047619,21.46,7.02726190476191,53.25,31.79,-2.92321428571428,317,27.05.2024 14:17:01,2.92321428571428,24B11_RDL,SD
24B11_g4_x_RDL_female_mating_SD_1.csv,5.37666666666667,14.27,2.88369047619048,21.63,7.36,-2.49297619047619,352,22.05.2024 14:52:37,2.49297619047619,24B11_RDL,SD
24B11_g4_x_RDL_female_mating_SD_7.csv,6.92819277108434,43.15,9.42964705882353,24.03,-19.12,2.50145428773919,509,22.05.2024 17:29:01,2.50145428773919,24B11_RDL,SD
24B11_g4_x_RDL_female_mating_SD_5.csv,1.0127380952381,22.54,0,0,-22.54,-1.0127380952381,385,22.05.2024 15:25:00,1.0127380952381,24B11_RDL,SD
24b11_g4_x_RDL_SD_18.csv,11.2507142857143,35.6,5.01867469879518,22.03,-13.57,-6.23203958691911,333,27.05.2024 14:33:00,6.23203958691911,24B11_RDL,SD
24b11_g4_x_RDL_SD_9.csv,8.09416666666667,32.45,2.68630952380952,13.29,-19.16,-5.40785714285714,295,27.05.2024 13:55:57,5.40785714285714,24B11_RDL,SD
24b11_g4_x_RDL_SD_13.csv,9.34317647058824,37.73,19.1549397590361,54.04,16.31,9.81176328844791,312,27.05.2024 14:12:45,9.81176328844791,24B11_RDL,SD
24B11_RDL_final_two_sd_2.csv,0,0,0,0,0,0,337,28.05.2024 14:37:32,0,24B11_RDL,SD
24B11_RDL_final_two_sd_1.csv,8.05761904761905,22.12,2.37357142857143,22.75,0.629999999999999,-5.68404761904762,333,28.05.2024 14:33:56,5.68404761904762,24B11_RDL,SD
24b11_g4_female_RESTED_14.csv,10.9377380952381,28,6.65879518072289,37.65,9.65,-4.27894291451521,272,27.05.2024 13:32:12,4.27894291451521,24B11_G4,rested
24B11_g4_female_mating_rested_2.csv,9.51705882352941,36.32,5.73144578313253,23.23,-13.09,-3.78561304039688,288,21.05.2024 13:48:23,3.78561304039688,24B11_G4,rested
24b11_g4_female_RESTED_8.csv,9.36058823529412,53.25,7.98120481927711,22.71,-30.54,-1.37938341601701,243,27.05.2024 13:03:16,1.37938341601701,24B11_G4,rested
24B11_g4_female_mating_rested_4.csv,7.51761904761905,40.67,2.30094117647059,12.87,-27.8,-5.21667787114846,300,21.05.2024 14:00:16,5.21667787114846,24B11_G4,rested
24B11_g4_Female_mating_rested_18.csv,12.1308235294118,41.02,6.67059523809524,36.04,-4.98,-5.46022829131653,513,27.05.2024 17:33:03,5.46022829131653,24B11_G4,rested
24b11_g4_female_RESTED_9.csv,10.9382352941176,53.85,3.6066265060241,17.73,-36.12,-7.33160878809355,250,27.05.2024 13:10:23,7.33160878809355,24B11_G4,rested
24B11_g4_female_mating_rested_3.csv,7.44583333333333,49.04,3.15214285714286,32.77,-16.27,-4.29369047619048,292,21.05.2024 13:52:30,4.29369047619048,24B11_G4,rested
24b11_g4_female_RESTED_13.csv,9.03771084337349,26.68,9.31247058823529,46.67,19.99,0.2747597448618,267,27.05.2024 13:27:44,0.2747597448618,24B11_G4,rested
24B11_g4_female_mating_rested_1.csv,4.72726190476191,22.13,0.671190476190476,17.92,-4.21,-4.05607142857143,283,21.05.2024 13:43:10,4.05607142857143,24B11_G4,rested
24B11_g4_Female_mating_rested_16.csv,12.3953571428571,45.22,11.1827380952381,24.28,-20.94,-1.21261904761905,500,27.05.2024 17:20:25,1.21261904761905,24B11_G4,rested
24b11_g4_female_RESTED_12.csv,9.38511904761905,36.91,3.05511904761905,16.08,-20.83,-6.33,263,27.05.2024 13:23:31,6.33,24B11_G4,rested
24B11_g4_Female_mating_rested_17.csv,17.6655555555556,77.59,5.58202380952381,37.36,-40.23,-12.0835317460317,509,27.05.2024 17:29:37,12.0835317460317,24B11_G4,rested
24b11_g4_female_RESTED_11.csv,3.53258823529412,40.61,0.67702380952381,14.05,-26.56,-2.85556442577031,258,27.05.2024 13:18:21,2.85556442577031,24B11_G4,rested
24B11_g4_Female_mating_rested_19.csv,11.7636904761905,39.42,8.69397590361446,18.35,-21.07,-3.06971457257602,516,27.05.2024 17:36:42,3.06971457257602,24B11_G4,rested
24b11_g4_female_RESTED_10.csv,11.8368235294118,29.65,8.42385542168675,28.24,-1.41,-3.41296810772502,254,27.05.2024 13:14:24,3.41296810772502,24B11_G4,rested
24B11_g4_Female_mating_rested_20.csv,6.57975903614458,33.68,15.7018823529412,47.65,13.97,9.1221233167966,520,27.05.2024 17:40:09,9.1221233167966,24B11_G4,rested
24b11_g4_female_RESTED_15.csv,11.0172619047619,52.82,8.22119047619048,20.13,-32.69,-2.79607142857143,280,27.05.2024 13:40:01,2.79607142857143,24B11_G4,rested
24B11_g4_female_mating_rested_5.csv,12.5991666666667,33.62,5.68882352941176,22.21,-11.41,-6.9103431372549,305,21.05.2024 14:05:39,6.9103431372549,24B11_G4,rested
24B11_g4_female_mating_rested_6.csv,0,0,4.1375,32.31,32.31,4.1375,368,21.05.2024 15:08:32,4.1375,24B11_G4,rested
24b11_g4_female_rested_7.csv,4.73880952380952,22.6,1.42964285714286,20.3,-2.3,-3.30916666666667,460,23.05.2024 16:40:59,3.30916666666667,24B11_G4,rested
24B11_g4_female_mating_SD_11.csv,0,0,0,0,0,0,511,17.05.2024 17:31:17,0,24B11_G4,SD
24B11_g4_female_mating_SD_4.csv,0,0,0,0,0,0,400,16.05.2024 15:40:42,0,24B11_G4,SD
24b11_g4_female_SD_13.csv,0,0,0,0,0,0,223,27.05.2024 12:43:59,0,24B11_G4,SD
24B11_g4_female_mating_SD_3.csv,2.59928571428571,20.67,3.09481927710843,18.73,-1.94,0.49553356282272,389,16.05.2024 15:29:33,0.49553356282272,24B11_G4,SD
24b11_g4_female_SD_14.csv,0,0,0,0,0,0,229,27.05.2024 12:49:31,0,24B11_G4,SD
24b11_g4_female_SD_12.csv,12.5409523809524,34.14,4.51011904761905,14.3,-19.84,-8.03083333333333,219,27.05.2024 12:39:28,8.03083333333333,24B11_G4,SD
SD_24B11_g4_female_mating_1.csv,0,0,0,0,0,0,321,16.05.2024 14:21:17,0,24B11_G4,SD
24B11_g4_female_mating_SD_2.csv,4.27380952380952,9.47,5.02178571428571,11.34,1.87,0.747976190476192,350,16.05.2024 14:50:39,0.747976190476192,24B11_G4,SD
