Object,genotype,sleep_latency,volume_percent_threshold,reaction,file,day,Unnamed: 7,CreationDate,ZT,Humidity,Fly_ID,cond,volume_percent_2sd_200ms,volume_percent_2sd_500ms,volume_percent_2sd_1s,censored
Object 9,w1118,1387.93,87.78,1,/home/joeh/mutantscreen_round_two/shaker/sleeping/w1118/tuesday_why_so_dry_w1118_movement_thresholds.csv,7,,17/02/2026,9,19,30,sleeping,87.78,87.78,87.78,
Object 1,w1118,687.37,37.33,1,/home/joeh/mutantscreen_round_two/shaker/sleeping/w1118/tuesday_why_so_dry_w1118_again_movement_thresholds.csv,7,,17/02/2026,9,19,31,sleeping,37.33,37.33,37.33,
Object 6,w1118,1172.07,57.78,1,/home/joeh/mutantscreen_round_two/shaker/sleeping/w1118/tuesday_why_so_dry_w1118_again_movement_thresholds.csv,7,,17/02/2026,9,19,32,sleeping,57.78,57.78,57.78,
Object 5,shaker,4353.37,,0,/home/joeh/mutantscreen_round_two/shaker/sleeping/shaker/shaker_tuesday_movement_thresholds.csv,7,,17/02/2026,12,19,33,sleeping,,,,
Object 7,shaker,1102.29,,0,/home/joeh/mutantscreen_round_two/shaker/sleeping/shaker/shaker_tuesday_movement_thresholds.csv,7,,17/02/2026,12,19,34,sleeping,,,,
Object 7,w1118,1674.54,52.22,1,/home/joeh/mutantscreen_round_two/shaker/sleeping/w1118/w1118_sleeping_wednesday_movement_thresholds.csv,8,,18/02/2026,5,19,35,sleeping,52.22,52.22,52.22,
Object 1,shaker,1525,17.78,1,/home/joeh/mutantscreen_round_two/shaker/sleeping/shaker/shaker_sleeping_wednesday_velocity_averages.csv,8,,18/02/2026,6,19,36,sleeping,17.78,17.78,17.78,
Object 2,shaker,1560.46,58.67,1,/home/joeh/mutantscreen_round_two/shaker/sleeping/shaker/shaker_sleeping_wednesday_velocity_averages.csv,8,,18/02/2026,6,19,37,sleeping,58.67,58.67,58.67,
Object 7,shaker,460.63,24.67,1,/home/joeh/mutantscreen_round_two/shaker/sleeping/shaker/shaker_sleeping_wednesday2_movement_thresholds.csv,8,,18/02/2026,7,19,38,sleeping,24.67,24.67,24.67,
Object 9,shaker,311.13,,0,/home/joeh/mutantscreen_round_two/shaker/sleeping/shaker/shaker_sleeping_wednesday2_movement_thresholds.csv,8,,18/02/2026,7,19,39,sleeping,,,,
Object 7,shaker,2615.98,,0,/home/joeh/mutantscreen_round_two/shaker/sleeping/shaker/shaker_sleeping_wednesday3_just_1_tho_movement_thresholds.csv,8,,18/02/2026,8,19,40,sleeping,,,,
Object 3,shaker,3384.49,15.56,1,/home/joeh/mutantscreen_round_two/shaker/sleeping/shaker/shaker_sleeping_wednesday3_just_1_tho_again_velocity_averages.csv,8,,18/02/2026,10,19,41,sleeping,15.56,15.56,15.56,
Object 7,shaker,9414.41,14.67,1,/home/joeh/mutantscreen_round_two/shaker/sleeping/shaker/shaker_sleeping_wednesday3_just_1_tho_again_CAREFUL_MAYBE_FEMALES_movement_thresholds.csv,9,,19/02/2026,3,19,42,sleeping,14.67,14.67,14.67,
Object 6,w1118,305.15,40.67,1,/home/joeh/mutantscreen_round_two/shaker/sleeping/w1118/w1118_sleeping_for_shaker_movement_thresholds.csv,9,,19/02/2026,3,,43,sleeping,40.67,40.67,40.67,
Object 2,shaker,890.96,44,1,/home/joeh/mutantscreen_round_two/shaker/sleeping/shaker/thursday_I_pray_velocity_averages.csv,9,,19/02/2026,4,,44,sleeping,44,44,44,
Object 4,w1118,1007.83,86.22,1,/home/joeh/mutantscreen_round_two/shaker/sleeping/w1118/2_sleeping_w1118_i_dont_even_know_Maybe_exclude_wet_food_velocity_averages.csv,9,,19/02/2026,5,,45,sleeping,86.22,86.22,86.22,
Object 8,w1118,305.39,,0,/home/joeh/mutantscreen_round_two/shaker/sleeping/w1118/2_sleeping_w1118_i_dont_even_know_Maybe_exclude_wet_food_velocity_averages.csv,9,,19/02/2026,5,,46,sleeping,,,,
Object 3,shaker,432.83,70.89,1,/home/joeh/mutantscreen_round_two/shaker/sleeping/shaker/1_sleeping_shaker_add_7000_to_some_movement_thresholds.csv,9,,19/02/2026,,,47,sleeping,70.89,70.89,70.89,
Object 1,shaker,2299.88,,0,/home/joeh/mutantscreen_round_two/shaker/sleeping/shaker/sleeping_shakers_friday_movement_thresholds.csv,,,,,,48,sleeping,,,,
Object 9,shaker,1765.7,66.22,1,/home/joeh/mutantscreen_round_two/shaker/sleeping/shaker/sleeping_shakers_friday_movement_thresholds.csv,10,,20/02/2026,6,,49,sleeping,66.22,66.22,66.22,
Object 4,canton_s,1057.14,35.56,1,/home/joeh/mutantscreen_round_two/cs/sleeping/sleep_cs_movement_thresholds.csv,10,,,,,50,sleeping,35.56,35.56,35.56,
Object 8,canton_s,2042.64,,0,/home/joeh/mutantscreen_round_two/cs/sleeping/sleep_cs_movement_thresholds.csv,11,,25/02/2026,4,,51,sleeping,,,,
Object 7,canton_s,1513.33,,0,/home/joeh/mutantscreen_round_two/cs/sleeping/sleep_cs_2_movement_thresholds.csv,11,,25/02/2026,5,,52,sleeping,,,,
Object 8,canton_s,1727.84,,0,/home/joeh/mutantscreen_round_two/cs/sleeping/sleep_cs_2_movement_thresholds.csv,11,,25/02/2026,5,,53,sleeping,,,,
Object 1,canton_s,729.59,,0,/home/joeh/mutantscreen_round_two/cs/sleeping/sleep_cs_3_movement_thresholds.csv,11,,25/02/2026,5,,54,sleeping,,,,
Object 9,canton_s,1062.93,92.89,1,/home/joeh/mutantscreen_round_two/cs/sleeping/sleep_cs_3_movement_thresholds.csv,11,,25/02/2026,5,,55,sleeping,92.89,92.89,92.89,
Object 3,canton_s,1332.23,,0,/home/joeh/mutantscreen_round_two/cs/sleeping/sleep_cs_4_movement_thresholds.csv,,,,,,56,sleeping,,,,
Object 8,canton_s,893.19,32,1,/home/joeh/mutantscreen_round_two/cs/sleeping/sleep_cs_4_movement_thresholds.csv,11,,25/02/2026,6,,57,sleeping,,,,
Object 4,canton_s,1866.47,37.33,1,/home/joeh/mutantscreen_round_two/cs/sleeping/sleep_cs_5_movement_thresholds.csv,11,,25/02/2026,6,,58,sleeping,37.33,37.33,37.33,
Object 7,canton_s,867.7,,0,/home/joeh/mutantscreen_round_two/cs/sleeping/sleep_cs_5_movement_thresholds.csv,11,,25/02/2026,6,,59,sleeping,,,,
Object 4,canton_s,893.07,75.78,1,/home/joeh/mutantscreen_round_two/cs/sleeping/cs_6_movement_thresholds.csv,11,,25/02/2026,10,,60,sleeping,75.78,75.78,75.78,
Object 8,canton_s,906.5,25.56,1,/home/joeh/mutantscreen_round_two/cs/sleeping/cs_6_movement_thresholds.csv,11,,25/02/2026,,,61,sleeping,25.56,25.56,25.56,
Object 1,shaker,12000,,,censored,,,,,,62,sleeping,,,,
Object 7,shaker,19926.11,,0,/home/joeh/mutantscreen_round_two/shaker/sleeping/shaker/shaker_wed_eve_movement_thresholds.csv,11,,25/02/2026,16,,63,sleeping,,,,
Object 5,canton_s,367.39,32.67,1,/home/joeh/mutantscreen_round_two/cs/sleeping/cs7_movement_thresholds.csv,11,,25/02/2026,5,,64,sleeping,32.67,32.67,32.67,
Object 9,canton_s,301.13,,0,/home/joeh/mutantscreen_round_two/cs/sleeping/cs7_movement_thresholds.csv,11,,25/02/2026,5,,65,sleeping,,,,
Object 1,shaker,942.43,,0,/home/joeh/mutantscreen_round_two/shaker/sleeping/shaker/shaker_thurs__movement_thresholds.csv,12,,26/02/2026,5,,66,sleeping,,,,
Object 8,shaker,956.13,62.44,1,/home/joeh/mutantscreen_round_two/shaker/sleeping/shaker/shaker_thurs__movement_thresholds.csv,12,,26/02/2026,5,,67,sleeping,62.44,62.44,62.44,
Object 1,w1118,1811.13,62,1,/home/joeh/mutantscreen_round_two/shaker/sleeping/w1118/w1118_sleeping_thursday_spring_movement_thresholds.csv,12,,26/02/2026,6,,68,sleeping,62,62,62,
Object 3,w1118,1485.87,11.55,1,/home/joeh/mutantscreen_round_two/shaker/sleeping/w1118/w1118_sleeping_thursday_spring_movement_thresholds.csv,12,,26/02/2026,6,,69,sleeping,11.55,11.55,11.55,
Object 1,canton_s,1127.94,,0,/home/joeh/mutantscreen_round_two/cs/sleeping/cs_8_movement_thresholds.csv,12,,26/02/2026,7,,70,sleeping,,,,
Object 2,canton_s,2100.98,,0,/home/joeh/mutantscreen_round_two/cs/sleeping/cs_8_movement_thresholds.csv,12,,26/02/2026,7,,71,sleeping,,,,
Object 3,canton_s,831.43,,0,/home/joeh/mutantscreen_round_two/cs/sleeping/cs_9_velocity_averages.csv,12,,26/02/2026,8,,72,sleeping,,,,
Object 9,canton_s,802.33,,0,/home/joeh/mutantscreen_round_two/cs/sleeping/cs_9_velocity_averages.csv,12,,26/02/2026,8,,73,sleeping,,,,
Object 3,canton_s,792.32,,0,/home/joeh/mutantscreen_round_two/cs/sleeping/cs_10_movement_thresholds.csv,12,,26/02/2026,9,,74,sleeping,,,,
Object 9,canton_s,1625.16,,0,/home/joeh/mutantscreen_round_two/cs/sleeping/cs_10_movement_thresholds.csv,12,,26/02/2026,9,,75,sleeping,,,,
Object 3,canton_s,754.12,,0,/home/joeh/mutantscreen_round_two/cs/sleeping/cs_12_movement_thresholds.csv,12,,26/02/2026,10,,76,sleeping,,,,
Object 9,canton_s,646.82,,0,/home/joeh/mutantscreen_round_two/cs/sleeping/cs_12_movement_thresholds.csv,12,,26/02/2026,10,,77,sleeping,,,,
Object 3,w1118,754.37,73.78,1,/home/joeh/mutantscreen_round_two/shaker/sleeping/w1118/w1118_thorsdag_movement_thresholds.csv,12,,26/02/2026,10,,78,sleeping,73.78,73.78,73.78,
Object 7,w1118,438.8,19.33,1,/home/joeh/mutantscreen_round_two/shaker/sleeping/w1118/w1118_thorsdag_movement_thresholds.csv,12,,26/02/2026,10,,79,sleeping,19.33,19.33,19.33,
Object 3,w1118,767.57,23.11,1,/home/joeh/mutantscreen_round_two/shaker/sleeping/w1118/w1118_thorsdag_mama_mia_movement_thresholds.csv,12,,26/02/2026,10,,80,sleeping,23.11,23.11,23.11,
Object 9,w1118,631.83,,0,/home/joeh/mutantscreen_round_two/shaker/sleeping/w1118/w1118_thorsdag_mama_mia_movement_thresholds.csv,12,,26/02/2026,10,,81,sleeping,,,,
Object 1,w1118,300.2,26,1,/home/joeh/mutantscreen_round_two/shaker/sleeping/w1118/w1118_late_one_movement_thresholds.csv,12,,26/02/2026,10,,82,sleeping,26,26,26,
Object 5,w1118,300.2,,0,/home/joeh/mutantscreen_round_two/shaker/sleeping/w1118/w1118_late_one_movement_thresholds.csv,12,,26/02/2026,10,,83,sleeping,,,,
Object 3,canton_s,720.15,,0,/home/joeh/mutantscreen_round_two/cs/sleeping/cs_14_movement_thresholds.csv,12,,26/02/2026,12,,84,sleeping,,,,
Object 3,shaker,3956.68,54.89,1,/home/joeh/mutantscreen_round_two/shaker/sleeping/shaker/shaker_friday_movement_thresholds.csv,13,,27/02/2026,,,85,sleeping,54.89,54.89,54.89,
Object 9,shaker,1511.5,23.55,1,/home/joeh/mutantscreen_round_two/shaker/sleeping/shaker/shaker_friday_movement_thresholds.csv,13,,27/02/2026,,,86,sleeping,23.55,23.55,23.55,
Object 1,canton_s,2564.67,,0,/home/joeh/mutantscreen_round_two/cs/sleeping/cs_15_movement_thresholds.csv,13,,27/02/2026,,,87,sleeping,,,,
Object 9,canton_s,1919.96,,0,/home/joeh/mutantscreen_round_two/cs/sleeping/cs_15_movement_thresholds.csv,13,,27/02/2026,,,88,sleeping,,,,
Object 3,hk,1418.81,74.89,1,/home/joeh/mutantscreen_round_two/55/asleep/55/55_maybe_finally_sleeping_movement_thresholds.csv,13,,27/02/2026,,,89,sleeping,74.89,74.89,74.89,
Object 1,hk,1105.46,,0,/home/joeh/mutantscreen_round_two/55/asleep/55/HK_friday_two_movement_thresholds.csv,13,,27/02/2026,,,90,sleeping,,,,
Object 2,hk,1240.52,15.11,1,/home/joeh/mutantscreen_round_two/55/asleep/55/HK_friday_again_movement_thresholds.csv,13,,27/02/2026,,,91,sleeping,15.11,15.11,15.11,
Object 1,hk,2680.17,,0,/home/joeh/mutantscreen_round_two/55/asleep/55/hk_over_night_movement_thresholds.csv,13,,27/02/2026,,,92,sleeping,,,,
