genotype,sleep_cond,thresh,reaction,individual_slep_lat,sleep_latency,fly,time,matched_file,date,time_of_day,time_simp,day_num,proportion,mp4_file_path,mp4_link
rdl_w1118,sleeping,26.44,1,505.456016302109,505.456016302109,12,2025-04-11 13:50:19.299144,rdl_w1118_sd_sleeping_movement_thresholds (1).csv,2025-04-11,13:50:19.299144,1,d6,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
rdl_w1118,sleeping,100,0,303.06839132309,303.06839132309,13,2025-04-11 15:38:14.136595,rdl_w1118_friday_afternoon_effect_is_there_aint_it_movement_thresholds.csv,2025-04-11,15:38:14.136595,3,d6,1 / 2 ,/home/joeh/helicon_split_RDL/ellens_flies/rdl_sleepin/jw/rdl_w1118_friday_afternoon_effect_is_there_aint_it.mp4,"<a href=""file:///home/joeh/helicon_split_RDL/ellens_flies/rdl_sleepin/jw/rdl_w1118_friday_afternoon_effect_is_there_aint_it.mp4"">rdl_w1118_friday_afternoon_effect_is_there_aint_it.mp4</a>"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
rdl_w1118,sleeping,100,0,1536.05164408684,1536.05164408684,15,2025-04-15 13:14:28.233297,rdl_sleeping_nearly_easter_movement_thresholds.csv,2025-04-15,13:14:28.233297,1,d8,1 / 2,/home/joeh/helicon_split_RDL/ellens_flies/rdl_sleepin/jw/rdl_sleeping_nearly_easter.mp4,"<a href=""file:///home/joeh/helicon_split_RDL/ellens_flies/rdl_sleepin/jw/rdl_sleeping_nearly_easter.mp4"">rdl_sleeping_nearly_easter.mp4</a>"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
rdl_w1118,sleeping,100,0,457.207432508469,457.207432508469,16,2025-04-15 14:04:37.222096,rdl_sleeping_please_do_not_drill_movement_thresholds.csv,2025-04-15,14:04:37.222096,2,d8,1 / 2,/home/joeh/helicon_split_RDL/ellens_flies/rdl_sleepin/jw/rdl_sleeping_please_do_not_drill.mp4,"<a href=""file:///home/joeh/helicon_split_RDL/ellens_flies/rdl_sleepin/jw/rdl_sleeping_please_do_not_drill.mp4"">rdl_sleeping_please_do_not_drill.mp4</a>"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
helicon_rdl,sleeping,100,0,1836.51796889305,1836.51796889305,17,2025-04-15 14:53:51.844062,heli_rdl_tuesday_pray_movement_thresholds.csv,2025-04-15,14:53:51.844062,2,d8,1 / 2,/home/joeh/helicon_split_RDL/ellens_flies/helicon_rdl_sleeping/jw/heli_rdl_tuesday_pray.mp4,"<a href=""file:///home/joeh/helicon_split_RDL/ellens_flies/helicon_rdl_sleeping/jw/heli_rdl_tuesday_pray.mp4"">heli_rdl_tuesday_pray.mp4</a>"
,,,,,,,,,,,,,,,
rdl_w1118,sleeping,100,0,1277.2587351799,1277.2587351799,18,2025-04-15 15:24:22.804821,rdl_sleep_soon_it_will_rain_movement_thresholds.csv,2025-04-15,15:24:22.804821,3,d8,1 / 2,/home/joeh/helicon_split_RDL/ellens_flies/rdl_sleepin/jw/rdl_sleep_soon_it_will_rain.mp4,"<a href=""file:///home/joeh/helicon_split_RDL/ellens_flies/rdl_sleepin/jw/rdl_sleep_soon_it_will_rain.mp4"">rdl_sleep_soon_it_will_rain.mp4</a>"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
helicon_rdl,sleeping,64,1,909.951712608337,909.951712608337,19,2025-04-15 15:47:05.058274,helicon_rdl_sleeping_3_in_there_movement_thresholds.csv,2025-04-15,15:47:05.058274,3,d8,1 / 3 ,/home/joeh/helicon_split_RDL/ellens_flies/helicon_rdl_sleeping/jw/helicon_rdl_sleeping_3_in_there.mp4,"<a href=""file:///home/joeh/helicon_split_RDL/ellens_flies/helicon_rdl_sleeping/jw/helicon_rdl_sleeping_3_in_there.mp4"">helicon_rdl_sleeping_3_in_there.mp4</a>"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
rdl_w1118,sleeping,100,0,1251.41628313065,1251.41628313065,21,2025-04-15 17:36:19.948069,rdl_w1118_sleeping_wapwapwapwap_movement_thresholds.csv,2025-04-15,17:36:19.948069,5,d8,1 / 2,/home/joeh/helicon_split_RDL/ellens_flies/rdl_sleepin/jw/rdl_w1118_sleeping_wapwapwapwap.mp4,"<a href=""file:///home/joeh/helicon_split_RDL/ellens_flies/rdl_sleepin/jw/rdl_w1118_sleeping_wapwapwapwap.mp4"">rdl_w1118_sleeping_wapwapwapwap.mp4</a>"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
helicon_rdl,sleeping,90.67,1,569.282093524933,569.282093524933,22,2025-04-15 18:02:22.721250,helicon_rdl_sleeping_toooosday_lesssssgo_movement_thresholds.csv,2025-04-15,18:02:22.72125,6,d8,1 / 3 ,/home/joeh/helicon_split_RDL/ellens_flies/helicon_rdl_sleeping/jw/helicon_rdl_sleeping_toooosday_lesssssgo.mp4,"<a href=""file:///home/joeh/helicon_split_RDL/ellens_flies/helicon_rdl_sleeping/jw/helicon_rdl_sleeping_toooosday_lesssssgo.mp4"">helicon_rdl_sleeping_toooosday_lesssssgo.mp4</a>"
,,,,,,,,,,,,,,,
helicon_rdl,sleeping,70.66,1,1246.30575823784,1246.30575823784,23,2025-04-15 18:46:01.245321,helicon_rdl_last_of_the_day_presumably_movement_thresholds.csv,2025-04-15,18:46:01.245321,6,d8,2 / 2,/home/joeh/helicon_split_RDL/ellens_flies/helicon_rdl_sleeping/jw/helicon_rdl_last_of_the_day_presumably.mp4,"<a href=""file:///home/joeh/helicon_split_RDL/ellens_flies/helicon_rdl_sleeping/jw/helicon_rdl_last_of_the_day_presumably.mp4"">helicon_rdl_last_of_the_day_presumably.mp4</a>"
helicon_rdl,sleeping,21.78,1,1215.3,1246.30575823784,24,2025-04-15 18:46:01.245321,helicon_rdl_last_of_the_day_presumably_movement_thresholds.csv,2025-04-15,18:46:01.245321,6,d8,2 / 2,/home/joeh/helicon_split_RDL/ellens_flies/helicon_rdl_sleeping/jw/helicon_rdl_last_of_the_day_presumably.mp4,"<a href=""file:///home/joeh/helicon_split_RDL/ellens_flies/helicon_rdl_sleeping/jw/helicon_rdl_last_of_the_day_presumably.mp4"">helicon_rdl_last_of_the_day_presumably.mp4</a>"
,,,,,,,,,,,,,,,
helicon_rdl,sleeping,83.56,1,1017.81457924843,1017.81457924843,25,2025-04-15 19:44:33.980376,helicon_rdl_i_wanna_go_home_movement_thresholds.csv,2025-04-15,19:44:33.980376,7,d8,1 / 2,/home/joeh/helicon_split_RDL/ellens_flies/helicon_rdl_sleeping/jw/helicon_rdl_i_wanna_go_home.mp4,"<a href=""file:///home/joeh/helicon_split_RDL/ellens_flies/helicon_rdl_sleeping/jw/helicon_rdl_i_wanna_go_home.mp4"">helicon_rdl_i_wanna_go_home.mp4</a>"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
