subject,pre_average,post_average,difference,sleep_cond,genotype,file,day,baseline_mean,baseline_sd,threshold_2sd,exceeded_threshold,onset_time_threshold,time_from_18s_threshold,volume_percent_threshold,time_from_18s_sig_1s,volume_percent_sig_1s,time_from_18s_sig_2s,volume_percent_sig_2s,time_from_18s_sig_200ms,volume_percent_sig_200ms,time_from_18s_sig_500ms,volume_percent_sig_500ms,time_from_18s_2sd_200ms,volume_percent_2sd_200ms,time_from_18s_2sd_500ms,volume_percent_2sd_500ms,time_from_18s_2sd_1s,volume_percent_2sd_1s
Object5_Velocity,0.511732924478816,0.447386504734718,-0.0643464197440972,rested,w1118,/home/joeh/mutantscreen_round_two/shaker/rested/w1118_rested/w1118_rested_for_shaker_velocity_averages.csv,28.1.26,0.510531673482387,1.31020333942371,3.13093835232981,True,23.0260262489319,5.02602624893189,33.5068416595459,5,33.3333333333333,4,26.6666666666667,0.999999999999996,6.66666666666664,4.5,30,4.99999999999998,33.3333333333332,,,,
Object6_Velocity,0,0,0,rested,w1118,/home/joeh/mutantscreen_round_two/shaker/rested/w1118_rested/w1118_rested_for_shaker_velocity_averages.csv,28.1.26,0,0,0,False,,,,,,,,,,,,0,0,0,0,0,0
Object7_Velocity,0,0.260159361686949,0.260159361686949,rested,w1118,/home/joeh/mutantscreen_round_two/shaker/rested/w1118_rested/w1118_rested_for_shaker_velocity_averages.csv,28.1.26,0,0,0,True,25.3925769329071,7.3925769329071,49.2838462193807,7,46.6666666666667,6,40,7.39999999999997,49.3333333333332,7,46.6666666666667,0,0,0,0,0,0
Object8_Velocity,0,0,0,rested,w1118,/home/joeh/mutantscreen_round_two/shaker/rested/w1118_rested/w1118_rested_for_shaker_velocity_averages.csv,28.1.26,0,0,0,False,,,,,,,,,,,,0,0,0,0,0,0
Object9_Velocity,0.49805220557864,1.57373138444448,1.07567917886584,rested,w1118,/home/joeh/mutantscreen_round_two/shaker/rested/w1118_rested/w1118_rested_for_shaker_velocity_averages.csv,28.1.26,0.496883068945826,2.35931517312372,5.21551341519326,True,22.4593560695648,4.45935606956482,29.7290404637655,4,26.6666666666667,4,26.6666666666667,4.39999999999998,29.3333333333332,5.5,36.6666666666667,4.39999999999998,29.3333333333332,8,53.3333333333333,8,53.3333333333333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Object1_Velocity,0,0.76421615419411,0.76421615419411,sd,shaker,/home/joeh/mutantscreen_round_two/shaker/sd/shaker/shaker_sd_velocity_averages.csv,28.1.26,0,0,0,True,23.2258234024048,5.22582340240479,34.8388226826986,5,33.3333333333333,4,26.6666666666667,5.19999999999998,34.6666666666665,5,33.3333333333333,0,0,0,0,0,0
Object2_Velocity,0.689922874204868,0.0022251459475498,-0.687697728257318,sd,shaker,/home/joeh/mutantscreen_round_two/shaker/sd/shaker/shaker_sd_velocity_averages.csv,28.1.26,0.689659890879762,1.51586004512501,3.72137998112978,False,,,,,,,,,,,,,,,,,
Object3_Velocity,2.77961048854413,0.634174791823676,-2.14543569672045,sd,shaker,/home/joeh/mutantscreen_round_two/shaker/sd/shaker/shaker_sd_velocity_averages.csv,28.1.26,2.79229861620795,4.17902449595844,11.1503476081248,True,23.9591310024261,5.95913100242615,39.7275400161743,,,,,5.99999999999998,39.9999999999999,,,,,,,,
Object4_Velocity,0.353197599232746,0.63034606208452,0.277148462851774,sd,shaker,/home/joeh/mutantscreen_round_two/shaker/sd/shaker/shaker_sd_velocity_averages.csv,28.1.26,0.353197599232746,1.44180318551432,3.23680397026139,True,22.3258202075958,4.32582020759583,28.8388013839722,4,26.6666666666667,4,26.6666666666667,4.19999999999999,27.9999999999999,4,26.6666666666667,4.19999999999999,27.9999999999999,4,26.6666666666667,4,26.6666666666667
Object5_Velocity,2.20150517943037,1.17225918636169,-1.02924599306868,sd,shaker,/home/joeh/mutantscreen_round_two/shaker/sd/shaker/shaker_sd_velocity_averages.csv,28.1.26,2.20257698478575,3.80291713497203,9.80841125472981,True,24.3591701984406,6.35917019844055,42.3944679896037,,,,,4.79999999999998,31.9999999999999,14,93.3333333333333,6.39999999999998,42.6666666666665,,,,
Object6_Velocity,0.939062626145424,1.16375134570717,0.224688719561742,sd,shaker,/home/joeh/mutantscreen_round_two/shaker/sd/shaker/shaker_sd_velocity_averages.csv,28.1.26,0.939062626145424,2.27815802848725,5.49537868311993,True,18.3256826400757,0.325682640075684,2.17121760050456,0,0,4,26.6666666666667,0.399999999999999,2.66666666666666,0,0,0.199999999999999,1.33333333333333,4,26.6666666666667,4,26.6666666666667
Object7_Velocity,0.293938663093438,1.36270145476909,1.06876279167565,sd,shaker,/home/joeh/mutantscreen_round_two/shaker/sd/shaker/shaker_sd_velocity_averages.csv,28.1.26,0.269301320091236,2.03936266057324,4.34802664123772,True,18.0261881351471,0.0261881351470912,0.174587567647274,0,0,0,0,0,0,0,0,0,0,10.5,70,10,66.6666666666667
Object8_Velocity,2.29337923930344,1.90396038928199,-0.389418850021445,sd,shaker,/home/joeh/mutantscreen_round_two/shaker/sd/shaker/shaker_sd_velocity_averages.csv,28.1.26,2.29179231786393,2.63594055251157,7.56367342288708,True,18.3925271034241,0.392527103424072,2.61684735616048,3,20,14,93.3333333333333,0.399999999999999,2.66666666666666,3,20,0.399999999999999,2.66666666666666,,,,
Object9_Velocity,0,0.266421109566326,0.266421109566326,sd,shaker,/home/joeh/mutantscreen_round_two/shaker/sd/shaker/shaker_sd_velocity_averages.csv,28.1.26,0,0,0,True,25.0258359909058,7.02583599090576,46.8389066060384,7,46.6666666666667,6,40,6.99999999999998,46.6666666666665,7,46.6666666666667,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Object1_Velocity,0,0.447081260746629,0.447081260746629,sd,w1118,/home/joeh/mutantscreen_round_two/shaker/sd/w1118/w1118_sd_for_shaker_velocity_averages.csv,28.1.26,0,0,0,True,24.792519569397,6.79251956939697,45.2834637959798,7,46.6666666666667,6,40,7.19999999999997,47.9999999999998,7,46.6666666666667,0,0,0,0,0,0
Object2_Velocity,0,0,0,sd,w1118,/home/joeh/mutantscreen_round_two/shaker/sd/w1118/w1118_sd_for_shaker_velocity_averages.csv,28.1.26,0,0,0,False,,,,,,,,,,,,0,0,0,0,0,0
