filename,pre_onset_1_average,pre_onset_top_speed,post_onset_1_average,post_onset_top_speed,top_speed_difference,ZT,creation_time,abs_difference,cond,light_cond,genotype
CANTON_S_DARK2_16.csv,10.7201176470588,33.39,10.5444047619048,49.36,15.97,435,16.04.2024 16:15:12,15.97,cs_dark,dark,CS
Canton_S_DARK_3.csv,9.70154761904762,29.33,11.7230952380952,30.42,1.09,329,15.04.2024 14:29:05,1.09,cs_dark,dark,CS
Canton_S_DARK_11.csv,7.52583333333333,20.85,10.5389285714286,64.96,44.11,425,15.04.2024 16:05:40,44.11,cs_dark,dark,CS
Canton_S_DARK_4.csv,10.8990476190476,40.81,12.2310588235294,56.04,15.23,370,15.04.2024 15:10:41,15.23,cs_dark,dark,CS
CANTON_S_DARK2_21.csv,2.11156626506024,25.8,2.08505882352941,28.56,2.76,466,16.04.2024 16:46:18,2.76,cs_dark,dark,CS
Canton_S_DARK_13.csv,12.6375,42.65,13.5838823529412,43.33,0.68,434,15.04.2024 16:14:16,0.68,cs_dark,dark,CS
Canton_S_DARK_2.csv,11.0577380952381,30.84,11.920119047619,33.44,2.6,326,15.04.2024 14:26:54,2.6,cs_dark,dark,CS
CANTON_S_DARK2_27.csv,4.82096385542169,50.48,7.09741176470588,65.45,14.97,533,16.04.2024 17:53:22,14.97,cs_dark,dark,CS
CANTON_S_darkness_30.csv,8.91388235294118,28.68,9.55253012048193,44.39,15.71,366,17.04.2024 15:06:33,15.71,cs_dark,dark,CS
CANTON_S_DARK2_18.csv,10.5277647058824,31.81,11.069156626506,51.91,20.1,442,16.04.2024 16:22:42,20.1,cs_dark,dark,CS
CANTON_S_darkness_31_2.csv,8.09416666666667,40.31,11.7857142857143,76.51,36.2,459,17.04.2024 16:39:19,36.2,cs_dark,dark,CS
Canton_S_DARK_12.csv,12.9502409638554,38.36,7.82107142857143,44.92,6.56,429,15.04.2024 16:09:32,6.56,cs_dark,dark,CS
Canton_S_DARK_15.csv,10.1020481927711,20.47,15.0684523809524,44.93,24.46,441,15.04.2024 16:21:35,24.46,cs_dark,dark,CS
CANTON_S_DARK2_20.csv,0,0,0,0,0,456,16.04.2024 16:36:48,0,cs_dark,dark,CS
Canton_S_DARK_7.csv,4.85423529411765,23.19,4.33547619047619,30.85,7.66,384,15.04.2024 15:24:40,7.66,cs_dark,dark,CS
CANTON_S_DARK2_15.csv,14.983734939759,47.86,7.43082352941176,39.72,-8.14,429,16.04.2024 16:09:33,8.14,cs_dark,dark,CS
CANTON_S_DARK2_26.csv,5.31506024096386,20.33,6.07505882352941,50.2,29.87,526,16.04.2024 17:46:37,29.87,cs_dark,dark,CS
Canton_S_DARK_10.csv,7.42202380952381,20.5,12.1639285714286,82.91,62.41,415,15.04.2024 15:55:14,62.41,cs_dark,dark,CS
CANTON_S_DARK2_28.csv,6.31035294117647,23.69,5.28590361445783,30.98,7.29,536,16.04.2024 17:56:08,7.29,cs_dark,dark,CS
CANTON_S_DARK2_25c.csv,9.22588235294117,26.73,15.1269879518072,44.96,18.23,521,16.04.2024 17:41:14,18.23,cs_dark,dark,CS
W1118_Day_darkness_18.csv,0,0,0,0,0,469,25.04.2024 16:49:25,0,W1118_dark,dark,w1118
W1118_Day_darkness_17.csv,0,0,5.31607142857143,53.36,53.36,465,25.04.2024 16:45:12,53.36,W1118_dark,dark,w1118
W1118_Day_Darkness_14.csv,0.0401176470588235,0.84,2.69047619047619,13.76,12.92,322,25.04.2024 14:22:54,12.92,W1118_dark,dark,w1118
W1118_Day_dark_10.csv,1.98903614457831,31.91,4.54035294117647,40.21,8.3,367,24.04.2024 15:07:59,8.3,W1118_dark,dark,w1118
W1118_Day_darkness_20.csv,10.9603614457831,123.53,0,0,-123.53,483,25.04.2024 17:03:42,123.53,W1118_dark,dark,w1118
W1118_Day_Darkness_13.csv,7.88309523809524,14.71,6.41761904761905,26.01,11.3,317,25.04.2024 14:17:42,11.3,W1118_dark,dark,w1118
W1118_Day_dark_2.csv,14.249880952381,32.31,4.65738095238095,17.61,-14.7,314,24.04.2024 14:14:10,14.7,W1118_dark,dark,w1118
W1118_Day_dark_8.csv,3.25670588235294,18.09,0.541309523809524,11.11,-6.98,357,24.04.2024 14:57:53,6.98,W1118_dark,dark,w1118
W1118_Day_Darkness_12.csv,10.077380952381,32.55,11.5995180722892,32.53,-0.019999999999996,314,25.04.2024 14:14:52,0.019999999999996,W1118_dark,dark,w1118
W1118_Day_darkness_16.csv,14.1616666666667,44.59,8.8027380952381,36.19,-8.40000000000001,462,25.04.2024 16:42:21,8.40000000000001,W1118_dark,dark,w1118
W1118_Day_Darkness_15.csv,7.77894117647059,25.53,8.24440476190476,45.92,20.39,337,25.04.2024 14:37:23,20.39,W1118_dark,dark,w1118
W1118_Day_dark_3.csv,4.65059523809524,28.06,3.9852380952381,24.55,-3.51,321,24.04.2024 14:21:30,3.51,W1118_dark,dark,w1118
W1118_Day_dark_9.csv,0,0,0,0,0,361,24.04.2024 15:01:34,0,W1118_dark,dark,w1118
W1118_Day_dark_4.csv,0,0,0.459294117647059,1.72,1.72,325,24.04.2024 14:25:40,1.72,W1118_dark,dark,w1118
W1118_Day_dark_1.csv,10.0785714285714,19.3,9.23409638554217,51.97,32.67,297,24.04.2024 13:57:44,32.67,W1118_dark,dark,w1118
W1118_Day_dark_7.csv,14.652619047619,32.79,7.76807228915663,39.69,6.9,344,24.04.2024 14:44:42,6.9,W1118_dark,dark,w1118
W1118_Day_dark_6.csv,6.2025,21.51,9.10535714285714,35.82,14.31,341,24.04.2024 14:41:46,14.31,W1118_dark,dark,w1118
